日期,成交商品件数
2017-10-15,30318
2017-10-16,18859
2017-10-17,19720
2017-10-18,21844
2017-10-19,21217
2017-10-20,18153
2017-10-21,25070
2017-10-22,20277
2017-10-23,21457
2017-10-24,24148
2017-10-25,24813
2017-10-26,25832
2017-10-27,21813
2017-10-28,26525
2017-10-29,39987
2017-10-30,28086
2017-10-31,24830
2017-11-01,24481
2017-11-02,19415
2017-11-03,26575
2017-11-04,32568
2017-11-05,35450
2017-11-06,32155
2017-11-07,43883
2017-11-08,41523
2017-11-09,50895
2017-11-10,71342
2017-11-11,294280
2017-11-12,61246
2017-11-13,56890
2017-11-14,44531
2017-11-15,46505
2017-11-16,41955
2017-11-17,19254
2017-11-18,20676
2017-11-19,18209
2017-11-20,25325
2017-11-21,27281
2017-11-22,23398
2017-11-23,22605
2017-11-24,29426
2017-11-25,54029
2017-11-26,35894
2017-11-27,32518
2017-11-28,30507
2017-11-29,28890
2017-11-30,45931
2017-12-01,33376
2017-12-02,31158
2017-12-03,33555
2017-12-04,37488
2017-12-05,41199
2017-12-06,39349
2017-12-07,39254
2017-12-08,33047
2017-12-09,33203
2017-12-10,38170
2017-12-11,45783
2017-12-12,140702
2017-12-13,46258
2017-12-14,49599
2017-12-15,37120
2017-12-16,37503
2017-12-17,32483
2017-12-18,32089
2017-12-19,34107
2017-12-20,33341
2017-12-21,39224
2017-12-22,35944
2017-12-23,44505
2017-12-24,31134
2017-12-25,42258
2017-12-26,49469
2017-12-27,47151
2017-12-28,58166
2017-12-29,36213
2017-12-30,49293
2017-12-31,44213
2018-01-01,44047
2018-01-02,42121
2018-01-03,36436
2018-01-04,33246
2018-01-05,33355
2018-01-06,38457
2018-01-07,54136
2018-01-08,52531
2018-01-09,45917
2018-01-10,39772
2018-01-11,44916
2018-01-12,39464
2018-01-13,38848
2018-01-14,36623
2018-01-15,43740
2018-01-16,141649
2018-01-17,46916
2018-01-18,60813
2018-01-19,54156
2018-01-20,48665
2018-01-21,46369
2018-01-22,47904
2018-01-23,44958
2018-01-24,119599
2018-01-25,77954
2018-01-26,85488
2018-01-27,85395
2018-01-28,76017
2018-01-29,83014
2018-01-30,117786
2018-01-31,131394
2018-02-01,137264
2018-02-02,97436
2018-02-03,105431
2018-02-04,136724
2018-02-05,124413
2018-02-06,111349
2018-02-07,105305
2018-02-08,93491
2018-02-09,90161
2018-02-10,118900
2018-02-11,94413
2018-02-12,43574
2018-02-13,38395
2018-02-14,14798
2018-02-15,13930
2018-02-16,8974
2018-02-17,8752
2018-02-18,10629
2018-02-19,11499
2018-02-20,12395
2018-02-21,19035
2018-02-22,17836
2018-02-23,19266
2018-02-24,22813
2018-02-25,21923
2018-02-26,21754
2018-02-27,24682
2018-02-28,25709
2018-03-01,32388
2018-03-02,23108
2018-03-03,18086
2018-03-04,19926
2018-03-05,25775
2018-03-06,20988
2018-03-07,27080
2018-03-08,22290
2018-03-09,16450
2018-03-10,18828
2018-03-11,17240
2018-03-12,21165
2018-03-13,21651
2018-03-14,21829
2018-03-15,26894
2018-03-16,27985
2018-03-17,27656
2018-03-18,27973
2018-03-19,27370
2018-03-20,48204
2018-03-21,31465
2018-03-22,23261
2018-03-23,27691
2018-03-24,26844
2018-03-25,25213
2018-03-26,21017
2018-03-27,21426
2018-03-28,21762
2018-03-29,25671
2018-03-30,19646
2018-03-31,20591
2018-04-01,17606
2018-04-02,15328
2018-04-03,20969
2018-04-04,16431
2018-04-05,22393
2018-04-06,25077
2018-04-07,24608
2018-04-08,23684
2018-04-09,40011
2018-04-10,41196
2018-04-11,28340
2018-04-12,26965
2018-04-13,23488
2018-04-14,21744
2018-04-15,19716
2018-04-16,20466
2018-04-17,40327
2018-04-18,27737
2018-04-19,26042
2018-04-20,23729
2018-04-21,26413
2018-04-22,43368
2018-04-23,29080
2018-04-24,21929
2018-04-25,21154
2018-04-26,21691
2018-04-27,21605
2018-04-28,19888
2018-04-29,19938
2018-04-30,18027
2018-05-01,21065
2018-05-02,19075
2018-05-03,28507
2018-05-04,30322
2018-05-05,25350
2018-05-06,26518
2018-05-07,23802
2018-05-08,23717
2018-05-09,17843
2018-05-10,16979
2018-05-11,22117
2018-05-12,23597
2018-05-13,38073
2018-05-14,23763
2018-05-15,36845
2018-05-16,36187
2018-05-17,44638
2018-05-18,25591
2018-05-19,47367
2018-05-20,36029
2018-05-21,25923
2018-05-22,25846
2018-05-23,21061
2018-05-24,22697
2018-05-25,18796
2018-05-26,19348
2018-05-27,18901
2018-05-28,22514
2018-05-29,23302
2018-05-30,24383
2018-05-31,28386
2018-06-01,46600
2018-06-02,29753
2018-06-03,29422
2018-06-04,26739
2018-06-05,52898
2018-06-06,40497
2018-06-07,41698
2018-06-08,36789
2018-06-09,35259
2018-06-10,29574
2018-06-11,30875
2018-06-12,61549
2018-06-13,47346
2018-06-14,41629
2018-06-15,53509
2018-06-16,50281
2018-06-17,60886
2018-06-18,100909
2018-06-19,43042
2018-06-20,42457
2018-06-21,26733
2018-06-22,29113
2018-06-23,28286
2018-06-24,21861
2018-06-25,20094
2018-06-26,21313
2018-06-27,19996
2018-06-28,16305
2018-06-29,26716
2018-06-30,26143
2018-07-01,35225
2018-07-02,24019
2018-07-03,29618
2018-07-04,27157
2018-07-05,31341
2018-07-06,51308
2018-07-07,28252
2018-07-08,26130
2018-07-09,19923
2018-07-10,17620
2018-07-11,57830
2018-07-12,47765
2018-07-13,42539
2018-07-14,21054
2018-07-15,23824
2018-07-16,25420
2018-07-17,40993
2018-07-18,26538
2018-07-19,26293
2018-07-20,30026
2018-07-21,25183
2018-07-22,25609
2018-07-23,26626
2018-07-24,45399
2018-07-25,57520
2018-07-26,40529
2018-07-27,40189
2018-07-28,43521
2018-07-29,70436
2018-07-30,66662
2018-07-31,43876
2018-08-01,28029
2018-08-02,28564
2018-08-03,50742
2018-08-04,43635
2018-08-05,45850
2018-08-06,40693
2018-08-07,48552
2018-08-08,60072
2018-08-09,49979
